Capacity_KB,Block_Size_B,Hit_Rate,Misses
1,16,48.934697591460555,2171337
2,16,49.42544576429553,2150470
4,16,49.43146634857913,2150214
8,16,49.43974465196907,2149862
16,16,49.457806404819856,2149094
32,16,49.493929910521416,2147558
64,16,96.83107957307472,134745
128,16,99.42044820898201,24643
1,64,49.29104092374577,2156185
2,64,49.74862884720627,2136728
4,64,49.75163913934807,2136600
8,64,49.75239171238352,2136568
16,64,49.75765972363166,2136344
32,64,49.76650245679819,2135968
64,64,97.26987668855635,116087
128,64,99.85480043997302,6174
1,128,49.2675700522027,2157183
2,128,49.76130499927212,2136189
4,128,49.76431529141392,2136061
8,128,49.76431529141392,2136061
16,128,49.76431529141392,2136061
32,128,49.77033587569751,2135805
64,128,97.14652526446474,121332
128,128,99.92725911254236,3093
