scheme,data_size,data_label,repeat,elapsed_us,throughput_mbps,speedup
default_loop,1024,1 KB,2000,88908,21.968,1.0000
unrolled,1024,1 KB,2000,78757,24.799,1.1289
reduced_dep,1024,1 KB,2000,88624,22.038,1.0032
xbox,1024,1 KB,2000,68845,28.370,1.2914
xbox_merged,1024,1 KB,2000,53650,36.405,1.6572
zbb_default,1024,1 KB,2000,78333,24.934,1.1350
zbb_xbox,1024,1 KB,2000,54256,35.998,1.6387
default_loop,16384,16 KB,200,143806,21.731,1.0000
unrolled,16384,16 KB,200,126430,24.717,1.1374
reduced_dep,16384,16 KB,200,142166,21.981,1.0115
xbox,16384,16 KB,200,111041,28.143,1.2951
xbox_merged,16384,16 KB,200,86369,36.182,1.6650
zbb_default,16384,16 KB,200,125943,24.813,1.1418
zbb_xbox,16384,16 KB,200,87447,35.736,1.6445
default_loop,65536,64 KB,50,142648,21.907,1.0000
unrolled,65536,64 KB,50,126569,24.690,1.1270
reduced_dep,65536,64 KB,50,142256,21.967,1.0028
xbox,65536,64 KB,50,110926,28.172,1.2860
xbox_merged,65536,64 KB,50,86355,36.188,1.6519
zbb_default,65536,64 KB,50,126036,24.795,1.1318
zbb_xbox,65536,64 KB,50,87506,35.712,1.6302
default_loop,262144,256 KB,20,228404,21.891,1.0000
unrolled,262144,256 KB,20,203208,24.605,1.1240
reduced_dep,262144,256 KB,20,228329,21.898,1.0003
xbox,262144,256 KB,20,178246,28.051,1.2814
xbox_merged,262144,256 KB,20,139515,35.838,1.6371
zbb_default,262144,256 KB,20,202259,24.721,1.1293
zbb_xbox,262144,256 KB,20,141907,35.234,1.6095
default_loop,1048576,1 MB,5,229676,21.770,1.0000
unrolled,1048576,1 MB,5,204610,24.437,1.1225
reduced_dep,1048576,1 MB,5,229659,21.771,1.0001
xbox,1048576,1 MB,5,180230,27.742,1.2743
xbox_merged,1048576,1 MB,5,142354,35.124,1.6134
zbb_default,1048576,1 MB,5,203686,24.548,1.1276
zbb_xbox,1048576,1 MB,5,144710,34.552,1.5871
default_loop,4194304,4 MB,2,370793,21.575,1.0000
unrolled,4194304,4 MB,2,331468,24.135,1.1186
reduced_dep,4194304,4 MB,2,371350,21.543,0.9985
xbox,4194304,4 MB,2,292971,27.306,1.2656
xbox_merged,4194304,4 MB,2,235419,33.982,1.5750
zbb_default,4194304,4 MB,2,330168,24.230,1.1230
zbb_xbox,4194304,4 MB,2,238834,33.496,1.5525
default_loop,16777216,16 MB,1,752710,21.257,1.0000
unrolled,16777216,16 MB,1,674165,23.733,1.1165
reduced_dep,16777216,16 MB,1,753502,21.234,0.9989
xbox,16777216,16 MB,1,600508,26.644,1.2535
xbox_merged,16777216,16 MB,1,493535,32.419,1.5251
zbb_default,16777216,16 MB,1,671721,23.819,1.1206
zbb_xbox,16777216,16 MB,1,500009,31.999,1.5054
